hull_id,source_family,source_title,source_author,source_url,source_licence,lines_source,offset_source,LWL_m,BWL_m,BWL_at_max_area_m,T_m,D_m,Cp,Cb,Cm,Cw,LCB_percent,LCB_convention,LCB_original_convention,LCB_transformation,deadrise_deg,transom_area_ratio,hull_type,hard_chine_or_round_bilge,range_class,range_note,D_available,complete_six,scalar_max_abs_dev,geom_rms_m,geom_rms_pct_halfbeam,geom_max_m,geom_coverage,extraction_method,notes,published_table,table_vol_dev_pct,table_cp_dev_pct,table_lwl_dev_pct,table_bwl_dev_pct,table_ax_dev_pct
dsyhs_01,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.047428606275627,3.203546,3.202578,0.793605012,1.987859,0.5624386766006468,0.35884742421886323,0.6380205329898727,0.6765563994141204,-2.1360506696592574,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",14.212662382428528,0.0,"wide,moderate_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,0.0005576399201783211,0.14767365175321118,8.040695889486381,0.65103,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-0.18055134561429148,-0.34988459549411,0.4742771031873882,1.0582103224566861,-0.30291265674142576
dsyhs_02,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.04967,2.789724,2.789124,0.906938014,2.091183,0.5652078576011222,0.3606683854581833,0.63811636835508,0.6789844470870329,-2.133862104007598,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",18.39284410858028,0.0,"wide,moderate_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,0.001411138199878259,0.12493278837758506,7.812474064427245,0.51622,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-0.10222458672541707,-0.380624814323457,0.49669476000323615,1.0769725522184124,-0.21615718192131295
dsyhs_03,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.048799803915285,3.67932,3.678224,0.68095301,1.8662070000000002,0.5696757337954119,0.3635063164586799,0.6380933834707206,0.6828252593172399,-2.144126462030112,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",10.723050425991229,0.0,"wide,shallow_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,0.002035273793767889,0.1623922141256358,7.706946129263443,0.812385,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-0.1104549434509503,-0.32861349966052167,0.48797490971867874,1.0802259460301904,-0.2677903417767189
dsyhs_04,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.029203403733916,2.874012,2.87316,0.721922011,1.9117989999999998,0.5655261183133873,0.35819122352533733,0.6333769775189146,0.6789965457415201,-2.138818287043481,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",15.134083654351633,0.0,"wide,moderate_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,0.0002428706248425172,0.13186582619010123,7.988822817853148,0.619702,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.2781547447548436,-0.3775269162484001,0.29203736365347527,0.8425538589926338,-1.1925953655506256
dsyhs_05,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.051464,3.64151,3.639004,0.919681014,2.113372,0.5558358964756087,0.35446656887145966,0.6377180227456117,0.6705686638513175,-2.236708101373129,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",14.420594833323978,0.0,"wide,moderate_draft,low_Cp",round_bilge,IN_RANGE,,True,True,0.0015500326019091126,0.1731673958146847,8.292385362749295,0.673616,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.3779795249368034,-0.5384738867720158,0.5146278308443144,0.04150514314456472,-1.3517221230092569
dsyhs_06,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.050461172477252,3.171284,3.169098,1.06375402,2.2571630000000003,0.5589864470225195,0.3564513963413637,0.6376744878879033,0.67328773366266,-2.22800207313941,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",18.88181106024252,0.0,"wide,deep_draft,low_Cp",round_bilge,IN_RANGE,,True,True,0.00028837259760461365,0.146213850764677,8.042672222552827,0.530619,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.2626282901121972,-0.4418917879717025,0.5046154082361165,0.04052810766815009,-1.3223221338742637
dsyhs_07,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.05464432724167,3.170276,3.169966,0.6397410099999999,1.830087,0.557467131124696,0.3559218759520801,0.6384625318339466,0.6723974827663047,-2.115839804633529,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",11.416919336619028,0.0,"wide,moderate_draft,low_Cp",round_bilge,IN_RANGE,,True,True,0.0031129731062802257,0.15002321500291857,8.251734383832105,0.726124,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.2772927286821159,-0.5931752208405138,0.546464961489757,0.008717888488075738,-1.2279543593356184
dsyhs_08,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.045476,3.053656,3.051116,0.793751012,1.95266,0.5844770236144123,0.3731461924931326,0.6384274786125764,0.6952611645159881,-2.254534135113848,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",14.651331041570327,0.0,"wide,moderate_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,0.00018192959693763555,0.1232466568818455,7.041487161397862,0.608971,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.0606665183658222,-0.3277494749028678,0.45474504797402937,0.11984231185326855,-1.184684826480323
dsyhs_09,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.058470759662603,3.279616,3.279616,0.793679012,1.959849,0.5433988882240094,0.3466978145908149,0.6380171584890934,0.6601576493217003,-2.0114783634613955,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",13.661632304606782,7.22571777569415e-15,"wide,moderate_draft,low_Cp",round_bilge,IN_RANGE,,True,True,0.0007328447437515706,0.16643197025537723,8.849864632406469,0.656998,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-1.1308762597974706,-0.38778381461909645,0.5847046421511578,-0.011715385044317442,-1.322954520913543
dsyhs_10,Delft Systematic Yacht Hull Series,Delft Systematic Yacht Hull Series Geometries data,"Delft University of Technology, Ship Hydromechanics Laboratory",https://data.4tu.nl/articles/dataset/Delft_Systematic_Yacht_Hull_Series_Geometries_data/21501330,CC0,"3D IGES NURBS surfaces, one per model, model scale, millimetres",extracted from the published geometry,10.053240075345858,3.204374,3.194372,0.793892012,2.006091,0.5623170918102035,0.35860105091711864,0.6377203470069086,0.6816597168796068,0.16644061188468223,"percent of LWL, POSITIVE FORWARD of amidships","metres from 1/2 waterline length, upright condition (4TU hydrostatics 'Info' sheet, row lcb0). Negative is AFT.","LCB_pct = 100 * lcb0 / lwl0. Sign UNCHANGED: the source is already positive-forward. VERIFIED rather than assumed -- LCF is tabulated in the same units and sits further aft than LCB on every model, which is only true of a yacht canoe body if negative means aft.",14.699349592422402,0.0,"wide,moderate_draft,moderate_Cp",round_bilge,IN_RANGE,,True,True,1.451706685717813e-05,0.15794525437213516,8.596656612284047,0.657114,1.0,"independent: offsets read from the published geometry, hydrostatics by benchmarks/e5_hydro.py which imports no part of the kernel under test","Fin-keel sailing yacht CANOE BODIES, appendages removed. Every model normalises to LWL = 10.000 m at full scale, so this family supplies NO length diversity whatever -- it varies beam, draft and prism","DSYHS hydrostatics, DOI 10.4121/21501375.v1",-0.12948646717176068,-0.37141547843182193,0.5323901583696974,1.0843591409404283,-0.28802581439308095
